area_type,availability,location,size,society,total_sqft,bath,balcony,price
Built-up Area,2 Years,Indiranagar,3 BHK,Prestige Golfshire,1535,1,3,139.68
Super built-up Area,Immediate Possession,HSR Layout Sector 6,4 BHK,Mantri Webcity,2307,3,3,331.84
Carpet Area,6 Months,Brookefield,3 BHK,Row House,1758,2,0,144.53
Super built-up Area,Immediate Possession,Varthur,4 BHK,Embassy Springs,1993,3,1,228.92
Built-up Area,6 Months,Banashankari,3 BHK,Standalone Villa,1535,2,2,62.73
Carpet Area,New Launch,Bommanahalli,3 BHK,Independent House,1618,1,2,67.44
Plot Area,Ready To Move,Kengeri Satellite Town,3 BHK,Prestige Song of the South,1605,2,1,114.99
Built-up Area,2 Years,Thanisandra,5 BHK,Sobha Windfall,2500,4,2,147.74
Plot Area,2 Years,Banaswadi,3 BHK,Purva Panorama,1455,3,0,134.42
Carpet Area,Under Construction,Yeshwanthpur,4 BHK,Purva Fountain Square,2517,3,1,109.16
Carpet Area,1 Year,BTM Layout 1st Stage,3 BHK,Brigade Orchards,1639,1,1,96.51
Plot Area,2 Years,Kengeri,3 BHK,Embassy Lake Terraces,1704,1,3,57.68
Built-up Area,Under Construction,Banaswadi,3 BHK,Brigade Millennium,1633,2,1,120.86
Built-up Area,1 Year,Nagarbhavi,2 BHK,Prestige Golfshire,1236,2,3,71.69
Built-up Area,Immediate Possession,JP Nagar,3 BHK,Salarpuria Sattva,1603,3,1,121.16
Plot Area,6 Months,BTM Layout,3 BHK,Godrej Eternity,1761,3,2,130.35
Super built-up Area,Ready To Move,Ramamurthy Nagar,3 BHK,Prestige Golfshire,1470,2,2,101.73
Plot Area,New Launch,HSR Layout,3 BHK,Salarpuria Greenage,1502,2,1,117.67
Carpet Area,Immediate Possession,Kengeri Satellite Town,2 BHK,Prestige Lakeside Habitat,1126,1,1,40.47
Built-up Area,Ready To Move,Koramangala 1st Block,3 BHK,Sobha City,1500,2,3,76.83
Plot Area,Immediate Possession,Kadugodi,2 BHK,Standalone Villa,1029,1,1,54.53
Plot Area,Under Construction,Koramangala 5th Block,4 BHK,Standalone Villa,2389,3,2,268.3
Plot Area,1 Year,Koramangala 7th Block,2 BHK,Godrej United,909,1,2,103.16
Plot Area,6 Months,Varthur,3 BHK,Salarpuria Greenage,1475,3,3,139.39
Carpet Area,New Launch,Hennur,3 BHK,Sobha Silicon Oaks,1575,2,0,67.68
Carpet Area,Ready To Move,Hebbal,5 BHK,Prestige Shantiniketan,2823,4,2,256.81
Carpet Area,Immediate Possession,Varthur,2 BHK,Standalone Villa,981,2,1,59.83
Plot Area,2 Years,Basaveshwara Nagar,3 BHK,Salarpuria Divinity,1492,2,1,128.93
Plot Area,2 Years,Whitefield,3 BHK,Sobha Dream Acres,1513,2,0,152.37
Carpet Area,Under Construction,Whitefield,3 BHK,Sobha Silicon Oaks,1579,1,1,119.08
Built-up Area,Under Construction,Ramamurthy Nagar,3 BHK,Prestige Song of the South,1664,1,1,91.28
Carpet Area,Ready To Move,Basavanagudi,3 BHK,Godrej United,1515,2,0,133.22
Carpet Area,New Launch,Koramangala 1st Block,2 BHK,Standalone Villa,1195,1,2,75.26
Built-up Area,2 Years,Banaswadi,2 BHK,Purva Panorama,963,1,1,40.46
Carpet Area,Ready To Move,Bannerghatta Road,2 BHK,Mantri Alpyne,1096,1,1,54.94
Plot Area,Under Construction,Kengeri,2 BHK,Purva Fountain Square,1104,2,2,65.21
Super built-up Area,6 Months,Hebbal,2 BHK,Brigade Millennium,1123,1,1,50.57
Carpet Area,New Launch,Marathahalli,2 BHK,Prestige Lakeside Habitat,1158,1,1,68.85
Super built-up Area,Under Construction,Nagarbhavi,4 BHK,Mantri Espana,2675,3,3,119.15
Plot Area,Under Construction,Whitefield,2 BHK,Mantri Webcity,1058,1,0,81.16
Plot Area,New Launch,Bellandur,5 BHK,Mantri Alpyne,3652,5,2,210.29
Super built-up Area,2 Years,Hoodi,3 BHK,Brigade Gateway,1599,3,1,71.93
Plot Area,Ready To Move,Kengeri,4 BHK,Standalone Villa,2176,2,2,103.62
Built-up Area,2 Years,Rajajinagar,3 BHK,Prestige Golfshire,1651,1,2,106.06
Super built-up Area,2 Years,Whitefield,2 BHK,Embassy Boulevard,985,1,2,66.42
Built-up Area,1 Year,Hennur,3 BHK,Sobha City,1615,2,1,130.23
Super built-up Area,6 Months,Thanisandra,3 BHK,Mantri Serenity,1550,1,2,140.79
Carpet Area,New Launch,KR Puram,4 BHK,Sobha Windfall,2172,4,2,104.44
Super built-up Area,New Launch,Kengeri Satellite Town,3 BHK,Salarpuria Divinity,1632,2,1,74.54
Carpet Area,Ready To Move,Jayanagar,3 BHK,Mantri Serenity,1729,3,1,169.48
Plot Area,New Launch,Malleshwaram,6 BHK,Prestige Shantiniketan,5262,5,0,687.6
Super built-up Area,Immediate Possession,Kengeri,3 BHK,Embassy Boulevard,1894,3,2,123.74
Plot Area,1 Year,Koramangala,4 BHK,Brigade Gateway,2133,3,1,338.8
Built-up Area,Under Construction,HSR Layout,4 BHK,Embassy Pristine,2217,4,2,213.18
Carpet Area,2 Years,Banashankari,5 BHK,Godrej Eternity,3515,5,1,186.67
Built-up Area,1 Year,Varthur,5 BHK,Standalone Villa,3450,5,3,174.04
Plot Area,Under Construction,Bannerghatta Road,4 BHK,Purva Fountain Square,2353,3,1,158.79
Built-up Area,Ready To Move,Hennur,3 BHK,Prestige Song of the South,1526,2,1,111.29
Built-up Area,New Launch,Nagarbhavi,3 BHK,Sobha City,1417,1,2,60.02
Plot Area,6 Months,Vijayanagar,4 BHK,Sobha Dream Acres,2215,2,3,138.6
Built-up Area,6 Months,Jayanagar,3 BHK,Salarpuria Misty Charm,1818,2,0,217.52
Plot Area,New Launch,Nagarbhavi,3 BHK,Row House,1511,2,1,81.39
Built-up Area,Immediate Possession,BTM Layout,3 BHK,Sobha Dream Acres,1676,2,0,200.36
Carpet Area,Immediate Possession,Koramangala 4th Block,2 BHK,Prestige Shantiniketan,1029,1,1,90.4
Built-up Area,Ready To Move,Nagarbhavi,2 BHK,Embassy Lake Terraces,1067,1,2,85.62
Super built-up Area,1 Year,Kadugodi,3 BHK,Standalone Villa,1577,1,3,102.68
Plot Area,2 Years,Jayanagar,1 BHK,Row House,649,1,2,63.34
Carpet Area,New Launch,HSR Layout Sector 2,5 BHK,Sobha Silicon Oaks,3261,4,1,271.44
Super built-up Area,6 Months,Sarjapur Road,2 BHK,Purva Panorama,1140,2,1,64.67
Built-up Area,2 Years,Bannerghatta Road,3 BHK,Sobha City,1357,2,1,117.13
Plot Area,Under Construction,Marathahalli,4 BHK,Salarpuria Sattva,2403,4,1,226.35
Plot Area,1 Year,Koramangala 6th Block,5 BHK,Embassy Pristine,3308,4,2,676.41
Carpet Area,Under Construction,Indiranagar,3 BHK,Purva Panorama,1508,3,2,125.97
Plot Area,2 Years,JP Nagar,2 BHK,Mantri Espana,1251,1,2,64.89
Super built-up Area,New Launch,HSR Layout Sector 6,3 BHK,Row House,1597,1,3,154.06
Super built-up Area,2 Years,Brookefield,2 BHK,Brigade Orchards,1067,2,1,111.18
Super built-up Area,2 Years,Nagarbhavi,1 BHK,Godrej Air,601,1,1,34.01
Super built-up Area,Ready To Move,JP Nagar,2 BHK,Salarpuria Greenage,910,1,3,40.25
Built-up Area,6 Months,Jayanagar,6 BHK,Embassy Boulevard,5420,5,1,333.61
Plot Area,1 Year,Koramangala 5th Block,5 BHK,Salarpuria Sattva,3057,4,2,552.34
Plot Area,1 Year,Banashankari,4 BHK,Godrej United,2420,4,2,268.99
Built-up Area,6 Months,Yeshwanthpur,3 BHK,Brigade Cosmopolis,1369,2,0,100.45
Built-up Area,6 Months,BTM Layout 2nd Stage,5 BHK,Purva Highlands,3831,4,1,295.31
Carpet Area,2 Years,Kadugodi,4 BHK,Embassy Lake Terraces,2525,2,1,104.18
Plot Area,2 Years,HSR Layout Sector 6,1 BHK,Purva Fountain Square,714,1,1,72.1
Built-up Area,Immediate Possession,Koramangala 6th Block,5 BHK,Row House,3452,4,0,269.1
Plot Area,Immediate Possession,Brookefield,5 BHK,Brigade Cosmopolis,3267,5,2,454.62
Super built-up Area,New Launch,Nagarbhavi,3 BHK,Brigade Millennium,1604,2,1,97.28
Super built-up Area,New Launch,Bellandur,3 BHK,Salarpuria Greenage,1611,2,1,102.42
Super built-up Area,2 Years,Kadugodi,5 BHK,Brigade Orchards,2942,4,2,85.43
Super built-up Area,Immediate Possession,Marathahalli,3 BHK,Salarpuria Misty Charm,1709,2,1,107.5
Carpet Area,New Launch,Bannerghatta Road,2 BHK,Embassy Boulevard,1035,1,0,49.43
Carpet Area,Ready To Move,Yelahanka,2 BHK,Brigade Cosmopolis,1099,1,2,52.83
Super built-up Area,1 Year,Nagarbhavi,4 BHK,Purva Fountain Square,2333,2,2,167.35
Plot Area,2 Years,Rajajinagar,3 BHK,Salarpuria Sattva,1660,2,1,200.47
Plot Area,Ready To Move,Koramangala,6 BHK,Godrej Eternity,4565,5,1,524.24
Plot Area,Immediate Possession,Varthur,2 BHK,Embassy Springs,1154,1,3,98.21
Super built-up Area,1 Year,Kengeri Satellite Town,3 BHK,Prestige Song of the South,1706,3,3,64.17
Super built-up Area,New Launch,Bellandur,2 BHK,Standalone Villa,1015,1,2,51.4
Built-up Area,Under Construction,Kadugodi,3 BHK,Godrej Eternity,1444,1,1,75.95
Super built-up Area,Under Construction,Hennur,3 BHK,Godrej United,1323,2,0,104.15
Built-up Area,Under Construction,Ramamurthy Nagar,3 BHK,Mantri Webcity,1468,3,2,52.69
Super built-up Area,6 Months,Kundanhalli,4 BHK,Brigade Cosmopolis,2201,3,2,73.7
Plot Area,6 Months,HSR Layout,3 BHK,Godrej United,1661,2,1,205.06
Plot Area,6 Months,Bannerghatta Road,4 BHK,Purva Riviera,2009,2,3,130.65
Built-up Area,6 Months,Ramamurthy Nagar,4 BHK,Builder Floor,2240,3,0,63.19
Super built-up Area,New Launch,Malleshwaram,3 BHK,Godrej United,1521,2,1,179.73
Super built-up Area,Ready To Move,Banashankari,4 BHK,Sobha Silicon Oaks,2283,2,1,170.28
Carpet Area,Under Construction,Brookefield,3 BHK,Purva Fountain Square,1703,2,2,132.18
Super built-up Area,2 Years,HSR Layout Sector 1,3 BHK,Godrej Air,1697,2,1,180.79
Plot Area,6 Months,Varthur,2 BHK,Brigade Gateway,1150,1,0,79.07
Built-up Area,Under Construction,Koramangala,2 BHK,Embassy Lake Terraces,1103,1,2,47.16
Super built-up Area,Ready To Move,Nagarbhavi,3 BHK,Godrej Eternity,1476,2,2,87.17
Built-up Area,2 Years,HSR Layout Sector 2,4 BHK,Sobha Dream Acres,2506,4,2,321.88
Super built-up Area,New Launch,Hoodi,4 BHK,Purva Highlands,2349,2,2,86.71
Carpet Area,Under Construction,Electronic City,5 BHK,Standalone Villa,3051,4,1,172.07
Carpet Area,6 Months,JP Nagar,3 BHK,Salarpuria Divinity,1687,2,3,68.92
Super built-up Area,Immediate Possession,Basaveshwara Nagar,4 BHK,Builder Floor,2462,4,3,232.89
Built-up Area,Ready To Move,Yelahanka,2 BHK,Sobha Dream Acres,1046,1,1,34.43
Carpet Area,Ready To Move,Basaveshwara Nagar,2 BHK,Mantri Alpyne,1161,2,1,42.81
Plot Area,1 Year,BTM Layout,4 BHK,Brigade Orchards,2244,3,2,271.68
Super built-up Area,New Launch,Marathahalli,2 BHK,Prestige Song of the South,1064,1,2,36.73
Super built-up Area,New Launch,KR Puram,3 BHK,Embassy Pristine,1697,3,2,58.33
Built-up Area,6 Months,Rajajinagar,4 BHK,Mantri Alpyne,2623,4,0,118.24
Built-up Area,6 Months,Koramangala,3 BHK,Godrej Air,1432,2,0,122.46
Plot Area,1 Year,Mahadevapura,4 BHK,Sobha Windfall,2455,4,2,295.63
Carpet Area,New Launch,Varthur,4 BHK,Godrej Air,2673,3,1,191.22
Carpet Area,2 Years,Domlur,3 BHK,Godrej Eternity,1549,2,2,62.94
Super built-up Area,6 Months,KR Puram,4 BHK,Brigade Orchards,2552,3,3,151.8
Carpet Area,Immediate Possession,Hebbal,4 BHK,Prestige Lakeside Habitat,2457,4,1,180.75
Plot Area,6 Months,Nagarbhavi,2 BHK,Salarpuria Greenage,1015,1,1,68.41
Built-up Area,Immediate Possession,Malleshwaram,3 BHK,Godrej Air,1565,2,0,100.07
Built-up Area,Under Construction,Hennur,5 BHK,Prestige Lakeside Habitat,3195,4,1,168.86
Carpet Area,1 Year,Bannerghatta Road,5 BHK,Builder Floor,3294,4,3,125.76
Built-up Area,1 Year,Kalyan Nagar,4 BHK,Sobha Windfall,2398,3,0,163.44
Super built-up Area,Under Construction,BTM Layout,3 BHK,Purva Fountain Square,1763,2,2,112.62
Super built-up Area,2 Years,Nagarbhavi,2 BHK,Purva Fountain Square,1050,1,1,60.01
Carpet Area,Immediate Possession,Banaswadi,2 BHK,Brigade Orchards,1134,1,1,58.93
Super built-up Area,Under Construction,Jayanagar,4 BHK,Godrej Aqua,2288,4,1,154.03
Carpet Area,6 Months,HSR Layout Sector 2,3 BHK,Salarpuria Greenage,1752,2,3,93.68
Super built-up Area,New Launch,Basavanagudi,4 BHK,Mantri Espana,2632,2,1,100.74
Plot Area,1 Year,Bannerghatta Road,3 BHK,Embassy Lake Terraces,1516,2,2,93.02
Plot Area,Immediate Possession,KR Puram,3 BHK,Prestige Lakeside Habitat,1400,2,2,94.14
Built-up Area,Ready To Move,Jayanagar,3 BHK,Sobha Silicon Oaks,1743,3,0,112.44
Plot Area,Under Construction,Kengeri,2 BHK,Purva Riviera,1093,1,3,63.82
Built-up Area,Immediate Possession,BTM Layout,3 BHK,Embassy Pristine,1659,2,3,130.59
Built-up Area,Immediate Possession,Thanisandra,2 BHK,Brigade Cosmopolis,1044,2,1,41.34
Plot Area,1 Year,HSR Layout Sector 1,5 BHK,Purva Fountain Square,3256,3,3,316.55
Super built-up Area,6 Months,HSR Layout Sector 2,2 BHK,Salarpuria Sattva,949,1,3,37.16
Super built-up Area,Under Construction,Thanisandra,3 BHK,Builder Floor,1746,1,1,46.32
Super built-up Area,6 Months,Kengeri Satellite Town,2 BHK,Prestige Song of the South,1173,2,3,29.04
Carpet Area,Immediate Possession,Jayanagar,3 BHK,Brigade Cosmopolis,1641,2,3,70.45
Plot Area,Under Construction,Bommanahalli,3 BHK,Godrej United,1601,2,1,113.76
Super built-up Area,1 Year,HSR Layout Sector 2,2 BHK,Builder Floor,1159,1,1,75.1
Plot Area,Ready To Move,Thanisandra,3 BHK,Independent House,1686,3,1,78.88
Built-up Area,Immediate Possession,Rajajinagar,2 BHK,Sobha Silicon Oaks,800,1,3,74.81
Super built-up Area,Under Construction,Hennur,3 BHK,Mantri Alpyne,1687,2,3,58.47
Super built-up Area,New Launch,Thanisandra,2 BHK,Purva Fountain Square,969,1,0,60.08
Super built-up Area,Ready To Move,Vijayanagar,4 BHK,Embassy Springs,2277,2,1,209.7
Carpet Area,Ready To Move,HSR Layout Sector 6,2 BHK,Builder Floor,1030,1,1,53.32
Built-up Area,Immediate Possession,Nagarbhavi,3 BHK,Row House,1570,1,1,84.68
Built-up Area,New Launch,Koramangala,3 BHK,Brigade Gateway,1586,2,2,126.78
Built-up Area,2 Years,Hebbal,3 BHK,Godrej Eternity,1787,1,0,84.45
Carpet Area,1 Year,Bellandur,5 BHK,Purva Highlands,2755,4,2,155.7
Built-up Area,Ready To Move,HSR Layout Sector 6,4 BHK,Prestige Lakeside Habitat,2396,3,3,188.74
Carpet Area,Ready To Move,Whitefield,3 BHK,Mantri Alpyne,1529,1,1,107.72
Super built-up Area,6 Months,Mahadevapura,3 BHK,Embassy Pristine,1818,2,0,138.71
Plot Area,Immediate Possession,JP Nagar,3 BHK,Sobha Silicon Oaks,1758,1,3,149.78
Super built-up Area,Under Construction,HSR Layout,5 BHK,Row House,3436,4,2,234.79
Built-up Area,Ready To Move,HSR Layout Sector 2,4 BHK,Godrej Aqua,2681,3,1,156.25
Carpet Area,Ready To Move,Indiranagar,2 BHK,Brigade Gateway,972,2,1,54.01
Carpet Area,New Launch,BTM Layout 2nd Stage,4 BHK,Mantri Espana,2502,4,0,179.02
Plot Area,Under Construction,Marathahalli,5 BHK,Sobha Windfall,2904,4,2,198.47
Built-up Area,Immediate Possession,HSR Layout Sector 2,3 BHK,Embassy Lake Terraces,1437,3,0,115.33
Carpet Area,New Launch,HSR Layout,5 BHK,Embassy Lake Terraces,3215,3,2,281.42
Plot Area,2 Years,BTM Layout,3 BHK,Row House,1544,3,1,151.51
Plot Area,Under Construction,Bommanahalli,3 BHK,Embassy Springs,1684,2,1,81.04
Plot Area,6 Months,Hoodi,2 BHK,Mantri Serenity,1038,1,1,107.86
Super built-up Area,Ready To Move,HSR Layout Sector 2,2 BHK,Builder Floor,1101,2,0,137.74
Carpet Area,Immediate Possession,Kundanhalli,3 BHK,Purva Fountain Square,1662,2,1,118.12
Carpet Area,Under Construction,Koramangala 1st Block,4 BHK,Embassy Pristine,2329,2,1,403.8
Built-up Area,6 Months,Mahadevapura,3 BHK,Salarpuria Greenage,1532,2,1,168.96
Super built-up Area,Ready To Move,Jayanagar,4 BHK,Brigade Millennium,2494,2,1,194.45
Super built-up Area,1 Year,HSR Layout Sector 6,5 BHK,Mantri Serenity,3613,3,0,261.31
Super built-up Area,New Launch,Banaswadi,4 BHK,Salarpuria Misty Charm,2110,3,2,126.29
Built-up Area,1 Year,Whitefield,3 BHK,Sobha Dream Acres,1628,2,1,101.35
Carpet Area,New Launch,BTM Layout,4 BHK,Independent House,2538,3,2,145.43
Super built-up Area,1 Year,Whitefield,1 BHK,Mantri Webcity,519,1,1,31.92
Super built-up Area,2 Years,Ramamurthy Nagar,3 BHK,Godrej Aqua,1339,2,0,41.87
Carpet Area,1 Year,Hoodi,3 BHK,Salarpuria Divinity,1712,1,2,177.94
Built-up Area,Immediate Possession,Koramangala,3 BHK,Brigade Gateway,1503,1,1,247.09
Carpet Area,Immediate Possession,Koramangala 4th Block,3 BHK,Sobha Silicon Oaks,1630,3,1,202.68
Carpet Area,6 Months,Koramangala 1st Block,4 BHK,Purva Fountain Square,2051,4,0,239.39
Carpet Area,2 Years,JP Nagar,1 BHK,Salarpuria Misty Charm,504,1,0,33.15
Carpet Area,2 Years,Hebbal,4 BHK,Brigade Millennium,2594,3,3,98.74
Built-up Area,6 Months,KR Puram,3 BHK,Prestige Song of the South,1625,2,2,87.63
Super built-up Area,2 Years,HSR Layout Sector 1,3 BHK,Godrej Air,1612,2,1,148.41
Super built-up Area,New Launch,Vijayanagar,3 BHK,Sobha Silicon Oaks,1589,3,1,97.85
Built-up Area,New Launch,Mahadevapura,3 BHK,Purva Highlands,1664,2,2,126.63
Carpet Area,Under Construction,JP Nagar,4 BHK,Embassy Springs,2470,3,1,120.59
Built-up Area,Ready To Move,Koramangala,4 BHK,Purva Highlands,2460,4,1,420.86
Built-up Area,Under Construction,Kundanhalli,4 BHK,Mantri Webcity,2336,2,2,116.27
Carpet Area,2 Years,Nagarbhavi,3 BHK,Purva Fountain Square,1781,2,2,82.82
Built-up Area,Under Construction,Marathahalli,3 BHK,Sobha City,1743,1,0,129.14
Super built-up Area,Ready To Move,KR Puram,2 BHK,Godrej Air,1213,2,1,101.69
Super built-up Area,New Launch,Banashankari,3 BHK,Mantri Alpyne,1548,3,1,107.57
Carpet Area,Ready To Move,Marathahalli,2 BHK,Godrej Air,952,1,1,69.65
Built-up Area,Under Construction,Kadugodi,2 BHK,Sobha Dream Acres,1116,1,1,84.65
Carpet Area,2 Years,Koramangala 4th Block,3 BHK,Purva Highlands,1606,3,1,86.36
Built-up Area,Under Construction,Kengeri,4 BHK,Brigade Orchards,2183,4,2,87.94
Super built-up Area,Under Construction,Whitefield,3 BHK,Standalone Villa,1554,2,1,73.04
Carpet Area,New Launch,Koramangala 5th Block,3 BHK,Brigade Gateway,1572,2,1,179.96
Built-up Area,Under Construction,Koramangala 6th Block,2 BHK,Purva Panorama,925,1,2,126.35
Carpet Area,6 Months,HSR Layout Sector 2,5 BHK,Purva Highlands,3114,5,1,223.12
Super built-up Area,Immediate Possession,Bannerghatta Road,1 BHK,Godrej Eternity,641,1,1,34.99
Super built-up Area,Ready To Move,KR Puram,3 BHK,Godrej United,1914,1,3,95.3
Plot Area,6 Months,Rajajinagar,4 BHK,Salarpuria Misty Charm,2780,3,3,260.6
Built-up Area,1 Year,Hoodi,2 BHK,Standalone Villa,1113,2,3,60.8
Built-up Area,Ready To Move,Thanisandra,4 BHK,Mantri Alpyne,2315,4,3,145.54
Carpet Area,1 Year,Thanisandra,3 BHK,Mantri Alpyne,1516,1,0,67.4
Built-up Area,Under Construction,Basavanagudi,2 BHK,Prestige Golfshire,1272,1,1,69.31
Built-up Area,1 Year,Ramamurthy Nagar,3 BHK,Mantri Webcity,1418,2,3,45.0
Plot Area,Ready To Move,Thanisandra,3 BHK,Purva Panorama,1606,1,3,82.64
Carpet Area,Immediate Possession,Sarjapur Road,4 BHK,Mantri Alpyne,2659,3,0,287.35
Carpet Area,6 Months,Bommanahalli,2 BHK,Prestige Lakeside Habitat,1001,2,2,27.39
Super built-up Area,New Launch,Ramamurthy Nagar,5 BHK,Row House,3373,5,0,222.42
Plot Area,Immediate Possession,Bellandur,2 BHK,Sobha Silicon Oaks,1002,1,3,79.97
Built-up Area,6 Months,HSR Layout Sector 2,3 BHK,Sobha Windfall,1480,1,1,148.06
Super built-up Area,New Launch,KR Puram,1 BHK,Mantri Serenity,578,1,3,25.13
Carpet Area,6 Months,Kalyan Nagar,4 BHK,Embassy Boulevard,2019,3,1,140.4
Super built-up Area,1 Year,BTM Layout 2nd Stage,3 BHK,Embassy Pristine,1557,3,3,114.15
Plot Area,New Launch,Koramangala 7th Block,3 BHK,Row House,1548,3,1,165.61
Built-up Area,New Launch,Hennur,2 BHK,Brigade Cosmopolis,1016,2,2,51.77
Super built-up Area,1 Year,HSR Layout Sector 1,5 BHK,Prestige Song of the South,2704,4,1,340.62
Super built-up Area,Ready To Move,Mahadevapura,5 BHK,Mantri Serenity,3775,4,1,409.42
Super built-up Area,2 Years,Koramangala 7th Block,3 BHK,Brigade Gateway,1556,2,1,80.76
Carpet Area,Immediate Possession,Hennur,3 BHK,Purva Highlands,1619,2,0,161.55
Carpet Area,New Launch,JP Nagar,2 BHK,Godrej Air,1138,1,1,76.7
Carpet Area,Ready To Move,Vijayanagar,3 BHK,Prestige Shantiniketan,1618,1,1,190.85
Carpet Area,Ready To Move,Bannerghatta Road,2 BHK,Embassy Lake Terraces,1129,2,2,71.2
Carpet Area,Ready To Move,Whitefield,2 BHK,Sobha Dream Acres,1016,2,0,32.82
Plot Area,1 Year,Malleshwaram,3 BHK,Brigade Cosmopolis,1581,2,1,134.39
Plot Area,Immediate Possession,Vijayanagar,4 BHK,Prestige Song of the South,2454,2,1,142.56
Built-up Area,1 Year,Koramangala 4th Block,3 BHK,Godrej Aqua,1365,1,0,143.49
Built-up Area,6 Months,Bannerghatta Road,2 BHK,Prestige Song of the South,1182,1,2,36.53
Built-up Area,New Launch,Banaswadi,3 BHK,Prestige Lakeside Habitat,1688,2,3,53.22
Super built-up Area,1 Year,Whitefield,3 BHK,Brigade Millennium,1440,2,1,127.71
Plot Area,1 Year,Nagarbhavi,3 BHK,Godrej United,1351,2,1,109.17
Built-up Area,1 Year,HSR Layout,2 BHK,Sobha Silicon Oaks,1053,1,2,37.74
Plot Area,6 Months,Basaveshwara Nagar,3 BHK,Godrej Aqua,1495,1,1,138.22
Plot Area,6 Months,Domlur,2 BHK,Purva Highlands,1223,1,1,98.45
Built-up Area,Under Construction,Varthur,1 BHK,Godrej United,589,1,1,27.28
Plot Area,2 Years,Koramangala 6th Block,3 BHK,Embassy Boulevard,1548,2,0,185.73
Carpet Area,Ready To Move,Banaswadi,3 BHK,Sobha City,1665,1,1,128.58
Carpet Area,Ready To Move,Vijayanagar,3 BHK,Salarpuria Divinity,1643,3,1,108.54
Carpet Area,Immediate Possession,Hebbal,4 BHK,Builder Floor,2122,4,1,94.53
Super built-up Area,Under Construction,Koramangala 1st Block,5 BHK,Salarpuria Divinity,3162,5,1,177.73
Carpet Area,6 Months,Banashankari,4 BHK,Godrej Eternity,2638,3,1,255.7
Super built-up Area,Immediate Possession,Koramangala 4th Block,3 BHK,Mantri Alpyne,1746,1,1,219.39
Carpet Area,Immediate Possession,Koramangala 6th Block,3 BHK,Salarpuria Misty Charm,1576,2,1,99.89
Built-up Area,Ready To Move,Bommanahalli,3 BHK,Godrej Air,1480,2,3,143.12
Plot Area,6 Months,Indiranagar,2 BHK,Sobha Windfall,935,2,2,81.52
Carpet Area,2 Years,BTM Layout 2nd Stage,3 BHK,Brigade Millennium,1453,2,2,116.63
Super built-up Area,Under Construction,Mahadevapura,3 BHK,Independent House,1733,3,3,71.4
Carpet Area,Under Construction,Kengeri,2 BHK,Brigade Orchards,1140,1,1,31.33
Super built-up Area,1 Year,Yelahanka,3 BHK,Embassy Springs,1488,2,2,136.69
Built-up Area,1 Year,Koramangala 7th Block,3 BHK,Purva Highlands,1898,2,1,145.61
Carpet Area,2 Years,Rajajinagar,4 BHK,Embassy Boulevard,2594,2,1,195.84
Super built-up Area,New Launch,Rajajinagar,2 BHK,Mantri Espana,951,1,0,71.14
Built-up Area,2 Years,HSR Layout Sector 1,2 BHK,Embassy Pristine,1170,1,2,82.3
Built-up Area,1 Year,KR Puram,4 BHK,Purva Highlands,2521,3,1,132.15
Carpet Area,Ready To Move,JP Nagar,2 BHK,Prestige Golfshire,1400,2,2,119.3
Built-up Area,Immediate Possession,Indiranagar,2 BHK,Brigade Cosmopolis,1222,1,2,166.22
Plot Area,1 Year,Bellandur,5 BHK,Standalone Villa,3223,4,2,312.65
Plot Area,Immediate Possession,KR Puram,1 BHK,Prestige Golfshire,557,1,1,57.59
Plot Area,Ready To Move,Koramangala 1st Block,5 BHK,Sobha Dream Acres,3503,3,1,940.2
Carpet Area,6 Months,KR Puram,3 BHK,Sobha City,1652,3,2,61.4
Carpet Area,2 Years,Koramangala 4th Block,2 BHK,Godrej United,1150,1,3,118.12
Carpet Area,New Launch,Hoodi,3 BHK,Salarpuria Sattva,1669,2,3,95.62
Plot Area,Immediate Possession,BTM Layout 1st Stage,2 BHK,Embassy Boulevard,950,1,1,109.83
Carpet Area,1 Year,Koramangala 1st Block,5 BHK,Godrej Aqua,3113,4,1,258.22
Super built-up Area,1 Year,Koramangala 5th Block,3 BHK,Prestige Shantiniketan,1747,3,2,194.5
Plot Area,Ready To Move,Whitefield,3 BHK,Builder Floor,1485,3,2,135.2
Plot Area,New Launch,Banashankari,5 BHK,Salarpuria Greenage,3231,4,2,376.13
Built-up Area,Ready To Move,Yelahanka,3 BHK,Brigade Millennium,1616,3,2,40.74
Built-up Area,6 Months,Indiranagar,3 BHK,Embassy Springs,1503,3,2,115.15
Built-up Area,Immediate Possession,HSR Layout,3 BHK,Godrej Aqua,1609,3,2,188.53
Built-up Area,New Launch,Basaveshwara Nagar,4 BHK,Sobha Dream Acres,2344,2,2,262.01
Super built-up Area,1 Year,BTM Layout 2nd Stage,4 BHK,Mantri Alpyne,2317,3,2,100.21
Carpet Area,New Launch,Kalyan Nagar,3 BHK,Sobha Windfall,1700,3,1,102.13
Super built-up Area,Immediate Possession,Kengeri,4 BHK,Prestige Song of the South,2700,3,2,284.15
Carpet Area,2 Years,Indiranagar,4 BHK,Prestige Golfshire,2864,3,1,351.35
Super built-up Area,Immediate Possession,Hennur,4 BHK,Purva Riviera,2345,2,1,189.62
Plot Area,Ready To Move,Rajajinagar,2 BHK,Brigade Gateway,1066,1,2,124.09
Super built-up Area,Immediate Possession,JP Nagar,3 BHK,Prestige Golfshire,1660,3,2,65.59
